split,image,blur_score,brightness,status,note
urban,VEHICLE_URBAN_000001.jpg,2209.71,160.3,pass,
urban,VEHICLE_URBAN_000002.jpg,2302.73,149.1,pass,
urban,VEHICLE_URBAN_000003.jpg,1787.26,169.5,pass,
urban,VEHICLE_URBAN_000004.jpg,1916.02,165.7,pass,
urban,VEHICLE_URBAN_000005.jpg,2477.12,141.5,pass,
urban,VEHICLE_URBAN_000006.jpg,2854.35,138.8,pass,
urban,VEHICLE_URBAN_000007.jpg,1925.17,155.5,pass,
urban,VEHICLE_URBAN_000008.jpg,1604.33,142.4,pass,
urban,VEHICLE_URBAN_000009.jpg,1154.91,160.7,pass,
urban,VEHICLE_URBAN_000010.jpg,1611.82,148.1,pass,
urban,VEHICLE_URBAN_000011.jpg,991.27,160.8,pass,
urban,VEHICLE_URBAN_000012.jpg,904.18,160.4,pass,
urban,VEHICLE_URBAN_000013.jpg,756.80,160.4,pass,
urban,VEHICLE_URBAN_000014.jpg,987.16,157.6,pass,
urban,VEHICLE_URBAN_000015.jpg,872.13,167.5,pass,
urban,VEHICLE_URBAN_000016.jpg,534.32,164.6,pass,
urban,VEHICLE_URBAN_000017.jpg,556.84,160.5,pass,
urban,VEHICLE_URBAN_000018.jpg,580.53,161.8,pass,
urban,VEHICLE_URBAN_000019.jpg,638.12,152.7,pass,
urban,VEHICLE_URBAN_000020.jpg,901.08,173.1,pass,
urban,VEHICLE_URBAN_000021.jpg,930.15,167.2,pass,
urban,VEHICLE_URBAN_000022.jpg,791.42,173.5,pass,
